id,created_at,text
599671555954708480,2015-05-16 20:23:34,I'm happy to score again but we are disappointed with the result http://t.co/T95xQwGizN
599669863267840000,2015-05-16 20:16:51,RT @AlmarssadNouh: Le but d'Aatif Chahechouhe face à Kasimpasa  http://t.co/52jKz19mZx
599591516445790209,2015-05-16 15:05:32,#Matchday http://t.co/h7Ud4iJsZC
597517384426094592,2015-05-10 21:43:40,En direct d'Istanbul http://t.co/kNC0EEQfSP
597123504262221825,2015-05-09 19:38:32,"We did a great game despite of the result , thanks for all your support http://t.co/S1OSMRSfiA"
595326877381894144,2015-05-04 20:39:22,"RT @SivassporKulubu: SAİ K. Erciyesspor 2-3 Medicana Sivasspor
Ayrıntılar için tıklayınız: http://t.co/ZBshbOOZrn http://t.co/ZPXFVf4V1V"
595255555217858560,2015-05-04 15:55:58,In the stadium with Mehdi before the game against erciyesspor http://t.co/1eaM28wOpd
595254664158928896,2015-05-04 15:52:25,On the road to the game http://t.co/Gys9IQthA7
594503674023534592,2015-05-02 14:08:15,"Mes comptes sur les réseaux sociaux :
https://t.co/pwbxma1KE7
https://t.co/Y8QENUMP3B
https://t.co/gqrpWEOZ1m"
593905961976373250,2015-04-30 22:33:10,"Follow me on instagram 
https://t.co/gqrpWEOZ1m"
593730212296261632,2015-04-30 10:54:48,#Matchday http://t.co/yyfXAO5nIQ
593371660234969088,2015-04-29 11:10:02,"RT @SivassporKulubu: Ziraat Türkiye Kupası´nda Rakibimiz Galatasaray
Ayrıntılar için tıklayınız: http://t.co/v1fEZh8aWf http://t.co/QD5D0fx…"
592462596822958083,2015-04-26 22:57:45,"Ma page officielle sur Facebook

https://t.co/pwbxma1KE7"
588807528886235136,2015-04-16 20:53:49,"We are qualified to the semi final
Nous sommes qualifiés en demi-finale
@SivassporKulubu http://t.co/wim8wNgDf5"
586662887189385216,2015-04-10 22:51:46,Je présente mes plus sincères condoléances à toutes les familles et tous les proches des victimes d’un accident d’autocar au Maroc
585815785970499585,2015-04-08 14:45:41,"RT @AlmarssadNouh: #AFCON2017

Group F
Cape Verde, Morocco, Libya, Sao Tome"
584852568540610561,2015-04-05 22:58:13,"RT @SivassporKulubu: Aatif: Gol Ataya Devam Edeceğim
Ayrıntılar için tıklayınız: http://t.co/YVbPpWmwxY http://t.co/TAfiwq6XRN"
584393853052026880,2015-04-04 16:35:26,"Retour à Sivas après la victoire qui nous fait du bien
Always good to come back home after a great Victory http://t.co/i9DpxRLqwf"
